folder,file,ground truth
block number dependency,0,1
block number dependency,42,1
block number dependency,57,1
block number dependency,58,1
block number dependency,84,0
block number dependency,103,1
block number dependency,106,1
block number dependency,112,1
block number dependency,127,0
block number dependency,129,1
block number dependency,135,1
block number dependency,136,1
block number dependency,137,1
block number dependency,138,1
block number dependency,154,0
block number dependency,157,0
block number dependency,159,0
block number dependency,164,1
block number dependency,173,1
block number dependency,184,0
block number dependency,188,0
block number dependency,195,0
block number dependency,196,1
block number dependency,197,0
block number dependency,201,0
block number dependency,215,1
block number dependency,216,1
block number dependency,217,1
block number dependency,220,1
block number dependency,223,0
block number dependency,226,0
block number dependency,238,1
block number dependency,246,1
block number dependency,277,1
block number dependency,313,1
block number dependency,399,1
block number dependency,402,0
block number dependency,413,1
block number dependency,415,1
block number dependency,428,0
block number dependency,430,0
block number dependency,434,0
block number dependency,436,1
block number dependency,441,1
block number dependency,452,0
block number dependency,478,0
block number dependency,489,0
block number dependency,494,0
block number dependency,500,0
block number dependency,512,0
block number dependency,514,0
block number dependency,518,0
block number dependency,552,0
block number dependency,561,0
block number dependency,562,0
block number dependency,584,1
block number dependency,587,0
block number dependency,628,0
block number dependency,639,1
block number dependency,642,1
block number dependency,652,1
block number dependency,654,1
block number dependency,655,1
block number dependency,658,0
block number dependency,661,1
block number dependency,672,1
block number dependency,677,1
block number dependency,681,1
block number dependency,699,0
block number dependency,702,0
block number dependency,705,1
block number dependency,710,1
block number dependency,712,1
block number dependency,713,1
block number dependency,748,0
block number dependency,749,1
block number dependency,753,1
block number dependency,757,0
block number dependency,759,1
block number dependency,762,1
block number dependency,765,1
block number dependency,774,0
block number dependency,785,0
block number dependency,803,0
block number dependency,810,1
block number dependency,927,0
block number dependency,931,1
block number dependency,970,1
block number dependency,980,1
block number dependency,991,0
block number dependency,993,0
block number dependency,998,0
block number dependency,1011,0
block number dependency,1017,1
block number dependency,1034,1
block number dependency,1044,1
block number dependency,1052,1
block number dependency,1056,1
block number dependency,1058,0
block number dependency,1068,0
block number dependency,1096,1
block number dependency,1101,1
block number dependency,1117,0
block number dependency,1121,1
block number dependency,1123,0
block number dependency,1130,0
block number dependency,1149,1
block number dependency,1162,0
block number dependency,1165,1
block number dependency,1171,0
block number dependency,1206,0
block number dependency,1224,0
block number dependency,1225,0
block number dependency,1233,0
block number dependency,1297,1
block number dependency,1298,0
block number dependency,1302,0
block number dependency,1335,0
block number dependency,1338,0
block number dependency,1345,1
block number dependency,1362,0
block number dependency,1373,0
block number dependency,1376,1
block number dependency,1385,0
block number dependency,1399,0
block number dependency,1406,1
block number dependency,1437,0
block number dependency,1472,1
block number dependency,1482,1
block number dependency,1507,0
block number dependency,1520,0
block number dependency,1522,0
block number dependency,1546,1
block number dependency,1567,1
block number dependency,1673,1
block number dependency,1678,1
block number dependency,1698,1
block number dependency,1700,0
block number dependency,1701,0
block number dependency,1702,0
block number dependency,1703,0
block number dependency,1714,1
block number dependency,1761,1
block number dependency,1781,0
block number dependency,1788,0
block number dependency,1791,1
block number dependency,1794,0
block number dependency,1831,0
block number dependency,1833,0
block number dependency,1849,0
block number dependency,1859,0
block number dependency,1885,0
block number dependency,1937,0
block number dependency,1939,0
block number dependency,1965,0
block number dependency,1966,0
block number dependency,1968,0
block number dependency,1977,0
block number dependency,1986,1
block number dependency,2003,1
block number dependency,2013,0
block number dependency,2025,0
block number dependency,2071,0
block number dependency,2077,0
block number dependency,2110,1
block number dependency,2119,0
block number dependency,2123,0
block number dependency,2129,0
block number dependency,2130,0
block number dependency,2134,0
block number dependency,2135,0
block number dependency,2171,0
block number dependency,2199,0
block number dependency,2205,0
block number dependency,2211,0
block number dependency,2222,0
block number dependency,2224,0
block number dependency,2225,0
block number dependency,2249,0
block number dependency,2252,0
block number dependency,2254,0
block number dependency,2289,0
block number dependency,2295,1
block number dependency,2296,1
block number dependency,2301,0
block number dependency,2307,0
block number dependency,2321,0
block number dependency,2329,0
block number dependency,2349,0
block number dependency,2355,0
block number dependency,2374,0
block number dependency,2377,0
block number dependency,2379,0
block number dependency,2400,0
block number dependency,2405,0
block number dependency,2410,0
block number dependency,2411,0
block number dependency,2437,0
block number dependency,2440,0
block number dependency,2506,0
block number dependency,2528,0
block number dependency,2529,0
block number dependency,2530,0
block number dependency,2531,0
block number dependency,2541,0
block number dependency,2553,0
block number dependency,2584,1
block number dependency,2587,1
block number dependency,2589,1
block number dependency,2593,1
block number dependency,2598,0
block number dependency,2599,0
block number dependency,2607,0
block number dependency,2619,1
block number dependency,2622,0
block number dependency,2632,1
block number dependency,2633,1
block number dependency,2638,1
block number dependency,2644,1
block number dependency,2655,0
block number dependency,2658,1
block number dependency,2670,1
block number dependency,2684,0
block number dependency,2699,0
block number dependency,2717,0
block number dependency,2723,0
block number dependency,2724,0
block number dependency,2734,1
block number dependency,2736,0
block number dependency,2740,0
block number dependency,2745,0
block number dependency,2746,0
block number dependency,2750,0
block number dependency,2754,0
block number dependency,2757,0
block number dependency,2761,0
block number dependency,2763,0
block number dependency,2764,0
block number dependency,2772,0
block number dependency,2777,0
block number dependency,2783,0
block number dependency,2792,0
block number dependency,2794,0
block number dependency,2805,1
block number dependency,2821,0
block number dependency,2823,0
block number dependency,2825,1
block number dependency,2833,0
block number dependency,2839,0
block number dependency,2855,0
block number dependency,2859,0
block number dependency,2876,0
block number dependency,2919,0
block number dependency,2941,0
block number dependency,2947,0
block number dependency,2949,0
block number dependency,2954,0
block number dependency,2963,1
block number dependency,2977,1
block number dependency,2978,1
block number dependency,2989,0
block number dependency,2990,1
block number dependency,2991,1
block number dependency,3050,0
block number dependency,3051,0
block number dependency,3057,0
block number dependency,3060,1
block number dependency,3062,1
block number dependency,3071,0
block number dependency,3082,0
block number dependency,3090,0
block number dependency,3091,0
block number dependency,3096,0
block number dependency,3097,0
block number dependency,3100,0
block number dependency,3103,0
block number dependency,3105,1
block number dependency,3106,0
block number dependency,3108,0
block number dependency,3109,0
block number dependency,3113,0
block number dependency,3123,1
block number dependency,3126,0
block number dependency,3127,0
block number dependency,3132,1
block number dependency,3137,0
block number dependency,3146,0
block number dependency,3158,0
block number dependency,3168,0
block number dependency,3174,0
block number dependency,3199,0
block number dependency,3201,1
block number dependency,3204,0
block number dependency,3207,0
block number dependency,3217,0
block number dependency,3222,0
block number dependency,3228,0
block number dependency,3240,1
block number dependency,3248,0
block number dependency,3254,0
block number dependency,3255,0
block number dependency,3256,0
block number dependency,3266,0
block number dependency,3269,0
block number dependency,3281,0
block number dependency,3284,1
block number dependency,3286,0
block number dependency,3290,1
block number dependency,3291,1
block number dependency,3302,0
block number dependency,3305,0
block number dependency,3311,1
block number dependency,3314,0
block number dependency,3315,0
block number dependency,3316,0
block number dependency,3318,0
block number dependency,3323,0
block number dependency,3330,0
block number dependency,3337,1
block number dependency,3341,0
block number dependency,3347,0
block number dependency,3350,0
block number dependency,3363,0
block number dependency,3364,0
block number dependency,3371,0
block number dependency,3383,0
block number dependency,3386,1
block number dependency,3394,0
block number dependency,3434,0
block number dependency,3455,0
block number dependency,3468,0
block number dependency,3476,0
block number dependency,3488,0
block number dependency,3491,0
block number dependency,3495,0
block number dependency,3508,0
block number dependency,3509,0
block number dependency,3514,0
block number dependency,3522,0
block number dependency,3526,0
block number dependency,3533,0
block number dependency,3534,0
block number dependency,3536,0
block number dependency,3548,0
block number dependency,3555,0
block number dependency,3556,0
block number dependency,3560,0
block number dependency,3574,1
block number dependency,3577,0
block number dependency,3578,0
block number dependency,3589,0
block number dependency,3591,0
block number dependency,3594,0
block number dependency,3597,0
block number dependency,3624,0
block number dependency,3630,0
block number dependency,3643,0
block number dependency,3649,0
block number dependency,3650,0
block number dependency,3656,0
block number dependency,3659,0
block number dependency,3661,0
block number dependency,3664,0
block number dependency,3665,0
block number dependency,3669,0
block number dependency,3670,0
block number dependency,3685,0
block number dependency,3689,1
block number dependency,3691,0
block number dependency,3692,0
block number dependency,3694,0
block number dependency,3696,0
block number dependency,3703,0
block number dependency,3704,1
block number dependency,3705,0
block number dependency,3706,0
block number dependency,3708,1
block number dependency,3711,1
block number dependency,3717,0
block number dependency,3719,0
block number dependency,3722,0
block number dependency,3724,0
block number dependency,3732,0
block number dependency,3735,0
block number dependency,3757,0
block number dependency,3761,0
block number dependency,3765,0
block number dependency,3768,0
block number dependency,3770,0
block number dependency,3773,0
block number dependency,3790,0
block number dependency,3796,0
block number dependency,3801,0
block number dependency,3802,0
block number dependency,3804,0
block number dependency,3810,0
block number dependency,3811,0
block number dependency,3823,0
block number dependency,3826,0
block number dependency,3828,1
block number dependency,3873,0
block number dependency,3894,0
block number dependency,3911,0
block number dependency,3915,0
block number dependency,3919,0
block number dependency,3932,0
block number dependency,3934,0
block number dependency,3935,0
block number dependency,3936,0
block number dependency,3945,0
block number dependency,3955,1
block number dependency,3970,1
block number dependency,3971,1
