folder,file,ground truth
dangerous delegatecall,510,1
dangerous delegatecall,1138,0
dangerous delegatecall,2004,1
dangerous delegatecall,2860,0
dangerous delegatecall,3521,0
dangerous delegatecall,3721,1
dangerous delegatecall,3972,0
dangerous delegatecall,4617,0
dangerous delegatecall,5321,1
dangerous delegatecall,5332,0
dangerous delegatecall,5349,1
dangerous delegatecall,5380,0
dangerous delegatecall,5854,0
dangerous delegatecall,5901,1
dangerous delegatecall,6043,1
dangerous delegatecall,7003,0
dangerous delegatecall,7066,0
dangerous delegatecall,7129,1
dangerous delegatecall,7493,1
dangerous delegatecall,7494,1
dangerous delegatecall,7628,1
dangerous delegatecall,10708,0
dangerous delegatecall,10726,0
dangerous delegatecall,11074,0
dangerous delegatecall,11089,1
dangerous delegatecall,11772,0
dangerous delegatecall,12692,1
dangerous delegatecall,13000,1
dangerous delegatecall,14108,0
dangerous delegatecall,14677,0
dangerous delegatecall,16372,0
dangerous delegatecall,18102,0
dangerous delegatecall,20625,1
dangerous delegatecall,20681,0
dangerous delegatecall,20740,1
dangerous delegatecall,20869,0
dangerous delegatecall,20874,0
dangerous delegatecall,21312,1
dangerous delegatecall,21313,1
dangerous delegatecall,21314,1
dangerous delegatecall,21344,0
dangerous delegatecall,21345,0
dangerous delegatecall,22218,0
dangerous delegatecall,22229,1
dangerous delegatecall,22320,0
dangerous delegatecall,22344,1
dangerous delegatecall,22345,1
dangerous delegatecall,22648,0
dangerous delegatecall,22943,1
dangerous delegatecall,23089,0
dangerous delegatecall,23604,1
dangerous delegatecall,24227,0
dangerous delegatecall,24277,0
dangerous delegatecall,25217,1
dangerous delegatecall,25219,1
dangerous delegatecall,25335,0
dangerous delegatecall,25456,0
dangerous delegatecall,26284,0
dangerous delegatecall,26431,1
dangerous delegatecall,27767,1
dangerous delegatecall,29219,1
dangerous delegatecall,29717,1
dangerous delegatecall,29842,0
dangerous delegatecall,29999,1
dangerous delegatecall,30357,1
dangerous delegatecall,30358,1
dangerous delegatecall,30679,1
dangerous delegatecall,30692,1
dangerous delegatecall,30740,0
dangerous delegatecall,33425,1
dangerous delegatecall,33567,1
dangerous delegatecall,33727,1
dangerous delegatecall,33728,0
dangerous delegatecall,33741,1
dangerous delegatecall,33799,1
dangerous delegatecall,33930,0
dangerous delegatecall,34410,1
dangerous delegatecall,34483,1
dangerous delegatecall,38293,1
dangerous delegatecall,38362,0
dangerous delegatecall,38370,1
dangerous delegatecall,43085,0
dangerous delegatecall,43126,0
dangerous delegatecall,43189,0
dangerous delegatecall,43210,1
dangerous delegatecall,43311,0
dangerous delegatecall,43354,0
dangerous delegatecall,43367,0
dangerous delegatecall,44224,0
dangerous delegatecall,44311,1
dangerous delegatecall,44417,1
dangerous delegatecall,44418,1
dangerous delegatecall,44428,0
dangerous delegatecall,44939,0
dangerous delegatecall,45085,0
dangerous delegatecall,45086,0
dangerous delegatecall,47235,1
dangerous delegatecall,47236,1
