folder,file,ground truth
ether frozen,510,0
ether frozen,1138,0
ether frozen,1517,0
ether frozen,2004,1
ether frozen,2248,1
ether frozen,2860,0
ether frozen,3521,1
ether frozen,3721,1
ether frozen,3972,1
ether frozen,4617,1
ether frozen,5321,1
ether frozen,5332,0
ether frozen,5349,1
ether frozen,5380,1
ether frozen,5854,0
ether frozen,5901,1
ether frozen,6043,1
ether frozen,7003,1
ether frozen,7066,0
ether frozen,7129,1
ether frozen,7493,1
ether frozen,7494,1
ether frozen,7628,1
ether frozen,8680,1
ether frozen,10708,1
ether frozen,10726,1
ether frozen,11074,0
ether frozen,11089,1
ether frozen,11772,1
ether frozen,12692,1
ether frozen,13000,1
ether frozen,14108,1
ether frozen,14677,0
ether frozen,16372,0
ether frozen,18102,0
ether frozen,20625,1
ether frozen,20681,0
ether frozen,20740,0
ether frozen,20869,0
ether frozen,20874,0
ether frozen,21312,1
ether frozen,21313,1
ether frozen,21314,1
ether frozen,21344,0
ether frozen,21345,0
ether frozen,22218,0
ether frozen,22229,1
ether frozen,22320,0
ether frozen,22344,1
ether frozen,22345,1
ether frozen,22648,0
ether frozen,22943,0
ether frozen,23089,1
ether frozen,23604,0
ether frozen,24277,0
ether frozen,25217,0
ether frozen,25219,1
ether frozen,25335,1
ether frozen,25456,1
ether frozen,26284,1
ether frozen,26431,1
ether frozen,27767,1
ether frozen,29219,1
ether frozen,29717,1
ether frozen,29842,1
ether frozen,29999,1
ether frozen,30357,0
ether frozen,30358,0
ether frozen,30679,0
ether frozen,30692,0
ether frozen,30740,1
ether frozen,33425,0
ether frozen,33567,1
ether frozen,33727,1
ether frozen,33728,0
ether frozen,33741,1
ether frozen,33799,1
ether frozen,33930,0
ether frozen,34410,0
ether frozen,34483,0
ether frozen,38293,1
ether frozen,38362,0
ether frozen,38370,1
ether frozen,43085,1
ether frozen,43126,1
ether frozen,43189,1
ether frozen,43210,1
ether frozen,43311,1
ether frozen,43354,1
ether frozen,43367,1
ether frozen,44224,0
ether frozen,44311,1
ether frozen,44417,0
ether frozen,44418,0
ether frozen,44428,0
ether frozen,44939,0
ether frozen,45085,0
ether frozen,45086,0
ether frozen,47235,1
ether frozen,47236,1
