folder,file,ground truth
ether strict equality,2,0
ether strict equality,4,0
ether strict equality,13,0
ether strict equality,23,0
ether strict equality,26,0
ether strict equality,27,1
ether strict equality,28,1
ether strict equality,31,0
ether strict equality,32,1
ether strict equality,36,0
ether strict equality,37,0
ether strict equality,43,1
ether strict equality,48,0
ether strict equality,51,0
ether strict equality,55,0
ether strict equality,62,0
ether strict equality,73,0
ether strict equality,80,0
ether strict equality,81,0
ether strict equality,82,0
ether strict equality,83,0
ether strict equality,85,0
ether strict equality,89,0
ether strict equality,94,0
ether strict equality,99,0
ether strict equality,105,0
ether strict equality,109,0
ether strict equality,110,0
ether strict equality,111,0
ether strict equality,116,0
ether strict equality,138,0
ether strict equality,142,0
ether strict equality,144,0
ether strict equality,145,0
ether strict equality,146,0
ether strict equality,147,0
ether strict equality,150,0
ether strict equality,151,0
ether strict equality,156,1
ether strict equality,170,0
ether strict equality,175,0
ether strict equality,177,0
ether strict equality,182,0
ether strict equality,186,1
ether strict equality,196,0
ether strict equality,198,0
ether strict equality,199,0
ether strict equality,200,0
ether strict equality,205,1
ether strict equality,207,0
ether strict equality,227,0
ether strict equality,240,0
ether strict equality,241,0
ether strict equality,244,0
ether strict equality,245,0
ether strict equality,249,0
ether strict equality,267,0
ether strict equality,290,1
ether strict equality,310,0
ether strict equality,312,0
ether strict equality,316,0
ether strict equality,323,0
ether strict equality,324,0
ether strict equality,325,0
ether strict equality,326,0
ether strict equality,328,0
ether strict equality,332,1
ether strict equality,334,0
ether strict equality,343,0
ether strict equality,344,0
ether strict equality,356,0
ether strict equality,367,0
ether strict equality,369,0
ether strict equality,371,0
ether strict equality,374,0
ether strict equality,375,0
ether strict equality,377,1
ether strict equality,378,1
ether strict equality,388,1
ether strict equality,391,0
ether strict equality,392,0
ether strict equality,398,0
ether strict equality,407,0
ether strict equality,409,1
ether strict equality,412,1
ether strict equality,414,0
ether strict equality,416,0
ether strict equality,417,1
ether strict equality,418,0
ether strict equality,421,0
ether strict equality,426,1
ether strict equality,429,0
ether strict equality,432,0
ether strict equality,455,0
ether strict equality,459,0
ether strict equality,471,0
ether strict equality,474,0
ether strict equality,477,1
ether strict equality,479,0
ether strict equality,484,0
ether strict equality,486,0
ether strict equality,488,0
ether strict equality,491,0
ether strict equality,492,0
ether strict equality,499,0
ether strict equality,501,0
ether strict equality,505,0
ether strict equality,506,0
ether strict equality,513,0
ether strict equality,515,0
ether strict equality,531,0
ether strict equality,534,0
ether strict equality,536,0
ether strict equality,539,0
ether strict equality,545,0
ether strict equality,549,0
ether strict equality,550,0
ether strict equality,551,0
ether strict equality,565,0
ether strict equality,567,0
ether strict equality,570,0
ether strict equality,576,1
ether strict equality,586,0
ether strict equality,588,0
ether strict equality,597,0
ether strict equality,599,0
ether strict equality,601,0
ether strict equality,604,1
ether strict equality,607,0
ether strict equality,608,1
ether strict equality,611,0
ether strict equality,612,0
ether strict equality,614,0
ether strict equality,618,0
ether strict equality,620,0
ether strict equality,623,1
ether strict equality,624,0
ether strict equality,629,0
ether strict equality,630,0
ether strict equality,637,0
ether strict equality,640,1
ether strict equality,641,0
ether strict equality,656,0
ether strict equality,663,1
ether strict equality,685,0
ether strict equality,689,0
ether strict equality,690,0
ether strict equality,698,0
ether strict equality,703,1
ether strict equality,709,0
ether strict equality,714,0
ether strict equality,718,0
ether strict equality,720,0
ether strict equality,721,0
ether strict equality,724,0
ether strict equality,726,0
ether strict equality,733,0
ether strict equality,734,0
ether strict equality,743,1
ether strict equality,747,0
ether strict equality,754,0
ether strict equality,755,0
ether strict equality,756,0
ether strict equality,767,0
ether strict equality,775,0
ether strict equality,777,1
ether strict equality,780,1
ether strict equality,784,1
ether strict equality,786,0
ether strict equality,787,1
ether strict equality,789,0
ether strict equality,796,0
ether strict equality,798,0
ether strict equality,805,0
ether strict equality,806,1
ether strict equality,809,0
ether strict equality,821,0
ether strict equality,822,0
ether strict equality,825,0
ether strict equality,826,0
ether strict equality,831,0
ether strict equality,838,0
ether strict equality,839,0
ether strict equality,840,0
ether strict equality,852,1
ether strict equality,853,1
ether strict equality,858,0
ether strict equality,859,0
ether strict equality,867,0
ether strict equality,868,1
ether strict equality,872,0
ether strict equality,877,0
ether strict equality,878,0
ether strict equality,879,0
ether strict equality,892,0
ether strict equality,896,1
ether strict equality,897,1
ether strict equality,933,0
ether strict equality,935,0
ether strict equality,941,0
ether strict equality,953,1
ether strict equality,956,0
ether strict equality,960,0
ether strict equality,964,0
ether strict equality,965,0
ether strict equality,972,0
ether strict equality,974,0
ether strict equality,979,0
ether strict equality,982,0
ether strict equality,984,0
ether strict equality,985,0
ether strict equality,989,1
ether strict equality,996,0
ether strict equality,1000,0
ether strict equality,1003,0
ether strict equality,1006,0
ether strict equality,1020,0
ether strict equality,1023,0
ether strict equality,1032,0
ether strict equality,1033,0
ether strict equality,1035,0
ether strict equality,1036,0
ether strict equality,1037,0
ether strict equality,1045,0
ether strict equality,1048,0
ether strict equality,1049,0
ether strict equality,1063,0
ether strict equality,1070,0
ether strict equality,1071,0
ether strict equality,1072,0
ether strict equality,1075,0
ether strict equality,1102,0
ether strict equality,1103,0
ether strict equality,1109,0
ether strict equality,1112,0
ether strict equality,1114,0
ether strict equality,1118,0
ether strict equality,1119,0
ether strict equality,1121,0
ether strict equality,1122,0
ether strict equality,1132,0
ether strict equality,1136,0
ether strict equality,1148,0
ether strict equality,1151,0
ether strict equality,1152,0
ether strict equality,1166,0
ether strict equality,1168,0
ether strict equality,1169,0
ether strict equality,1178,0
ether strict equality,1189,0
ether strict equality,1194,0
ether strict equality,1199,0
ether strict equality,1202,0
ether strict equality,1204,0
ether strict equality,1210,0
ether strict equality,1211,0
ether strict equality,1213,0
ether strict equality,1235,0
ether strict equality,1237,0
ether strict equality,1240,0
ether strict equality,1242,0
ether strict equality,1243,0
ether strict equality,1244,0
ether strict equality,1266,0
ether strict equality,1272,0
ether strict equality,1273,0
ether strict equality,1278,0
ether strict equality,1279,1
ether strict equality,1281,1
ether strict equality,1285,0
ether strict equality,1286,0
ether strict equality,1295,1
ether strict equality,1299,0
ether strict equality,1311,0
ether strict equality,1312,0
ether strict equality,1339,0
ether strict equality,1340,0
ether strict equality,1346,1
ether strict equality,1348,0
ether strict equality,1349,0
ether strict equality,1354,0
ether strict equality,1355,0
ether strict equality,1360,1
ether strict equality,1363,0
ether strict equality,1365,1
ether strict equality,1370,0
ether strict equality,1372,0
ether strict equality,1379,0
ether strict equality,1382,1
ether strict equality,1384,0
ether strict equality,1388,0
ether strict equality,1394,1
ether strict equality,1398,0
ether strict equality,1400,0
ether strict equality,1418,0
ether strict equality,1421,0
ether strict equality,1429,1
ether strict equality,1435,0
ether strict equality,1439,0
ether strict equality,1447,0
ether strict equality,1453,0
ether strict equality,1454,0
ether strict equality,1460,0
ether strict equality,1465,0
ether strict equality,1473,0
ether strict equality,1474,0
ether strict equality,1475,0
ether strict equality,1477,0
ether strict equality,1478,0
ether strict equality,1479,0
ether strict equality,1480,0
ether strict equality,1481,0
ether strict equality,1484,0
ether strict equality,1486,0
ether strict equality,1488,0
ether strict equality,1489,0
ether strict equality,1490,0
ether strict equality,1492,0
ether strict equality,1494,0
ether strict equality,1496,0
ether strict equality,1497,0
ether strict equality,1502,0
ether strict equality,1514,0
ether strict equality,1523,0
ether strict equality,1525,0
ether strict equality,1528,0
ether strict equality,1530,0
ether strict equality,1539,0
ether strict equality,1540,0
ether strict equality,1541,0
ether strict equality,1542,0
ether strict equality,1543,0
ether strict equality,1547,0
ether strict equality,1548,0
ether strict equality,1551,0
ether strict equality,1552,0
ether strict equality,1553,0
ether strict equality,1557,0
ether strict equality,1563,0
ether strict equality,1568,0
ether strict equality,1571,0
ether strict equality,1579,0
ether strict equality,1582,0
ether strict equality,1588,0
ether strict equality,1589,0
ether strict equality,1591,0
ether strict equality,1592,0
ether strict equality,1593,0
ether strict equality,1595,1
ether strict equality,1603,1
ether strict equality,1605,0
ether strict equality,1618,1
ether strict equality,1628,0
ether strict equality,1636,0
ether strict equality,1637,0
ether strict equality,1641,0
ether strict equality,1643,0
ether strict equality,1645,0
ether strict equality,1649,0
ether strict equality,1651,0
ether strict equality,1654,0
ether strict equality,1658,0
