folder,file,ground truth
reentrancy,3,0
reentrancy,8,0
reentrancy,10,0
reentrancy,46,0
reentrancy,53,0
reentrancy,60,1
reentrancy,78,0
reentrancy,80,1
reentrancy,81,1
reentrancy,88,0
reentrancy,90,0
reentrancy,92,1
reentrancy,95,1
reentrancy,140,0
reentrancy,160,0
reentrancy,165,1
reentrancy,168,1
reentrancy,180,1
reentrancy,183,0
reentrancy,185,0
reentrancy,187,1
reentrancy,191,0
reentrancy,213,0
reentrancy,222,0
reentrancy,239,0
reentrancy,241,1
reentrancy,245,1
reentrancy,252,0
reentrancy,254,0
reentrancy,255,0
reentrancy,261,0
reentrancy,265,0
reentrancy,268,1
reentrancy,273,0
reentrancy,289,0
reentrancy,317,0
reentrancy,332,1
reentrancy,336,1
reentrancy,345,0
reentrancy,348,0
reentrancy,410,0
reentrancy,420,1
reentrancy,425,1
reentrancy,450,0
reentrancy,458,0
reentrancy,461,0
reentrancy,464,0
reentrancy,470,1
reentrancy,475,1
reentrancy,516,0
reentrancy,520,1
reentrancy,523,1
reentrancy,592,0
reentrancy,601,1
reentrancy,609,1
reentrancy,661,0
reentrancy,668,1
reentrancy,670,1
reentrancy,678,1
reentrancy,686,0
reentrancy,687,0
reentrancy,691,0
reentrancy,707,0
reentrancy,717,1
reentrancy,721,1
reentrancy,746,0
reentrancy,754,1
reentrancy,760,1
reentrancy,791,0
reentrancy,798,1
reentrancy,801,1
reentrancy,844,0
reentrancy,864,0
reentrancy,870,1
reentrancy,871,1
reentrancy,923,0
reentrancy,930,1
reentrancy,934,1
reentrancy,969,0
reentrancy,981,0
reentrancy,989,1
reentrancy,990,1
reentrancy,1009,0
reentrancy,1011,1
reentrancy,1021,1
reentrancy,1023,1
reentrancy,1030,1
reentrancy,1055,0
reentrancy,1064,0
reentrancy,1076,1
reentrancy,1078,1
reentrancy,1086,0
reentrancy,1155,1
reentrancy,1216,0
reentrancy,1229,0
reentrancy,1255,0
reentrancy,1275,0
reentrancy,1331,0
reentrancy,1336,0
reentrancy,1347,0
reentrancy,1395,0
reentrancy,1403,0
reentrancy,1421,1
reentrancy,1423,1
reentrancy,1427,1
reentrancy,1430,0
reentrancy,1432,0
reentrancy,1458,0
reentrancy,1468,0
reentrancy,1470,0
reentrancy,1482,0
reentrancy,1489,1
reentrancy,1491,1
reentrancy,1498,1
reentrancy,1529,0
reentrancy,1556,0
reentrancy,1600,1
reentrancy,1611,1
reentrancy,1620,1
reentrancy,1634,1
reentrancy,1690,0
reentrancy,1707,0
reentrancy,1710,0
reentrancy,1729,0
reentrancy,1731,0
reentrancy,1751,0
reentrancy,1753,0
reentrancy,20025,0
reentrancy,20044,0
reentrancy,20048,0
reentrancy,20053,0
reentrancy,20189,0
reentrancy,20198,0
reentrancy,20215,0
reentrancy,20313,0
reentrancy,20411,0
reentrancy,20596,0
reentrancy,20608,0
reentrancy,20757,0
reentrancy,20780,1
reentrancy,20810,1
reentrancy,20815,1
reentrancy,20821,1
reentrancy,20862,0
reentrancy,20891,0
reentrancy,20892,0
reentrancy,20918,0
reentrancy,20933,0
reentrancy,21027,0
reentrancy,21067,0
reentrancy,21071,1
reentrancy,21080,1
reentrancy,21082,1
reentrancy,21084,1
reentrancy,21087,0
reentrancy,21196,0
reentrancy,21227,0
reentrancy,21241,0
reentrancy,21254,0
reentrancy,21277,0
reentrancy,21287,0
reentrancy,21390,1
reentrancy,21391,1
reentrancy,21397,0
reentrancy,21513,0
reentrancy,21521,0
reentrancy,21610,0
reentrancy,21697,0
reentrancy,21700,1
reentrancy,21703,1
reentrancy,21741,1
reentrancy,21750,1
reentrancy,21755,1
reentrancy,21760,0
reentrancy,21999,0
reentrancy,22004,0
reentrancy,22074,1
reentrancy,22078,0
reentrancy,22271,0
reentrancy,22474,0
reentrancy,22478,1
reentrancy,22480,1
reentrancy,22485,1
reentrancy,22500,1
reentrancy,22511,0
reentrancy,22533,0
reentrancy,22572,0
reentrancy,22608,0
reentrancy,22629,0
reentrancy,22635,0
reentrancy,22675,0
reentrancy,22780,0
reentrancy,22799,0
reentrancy,22810,1
reentrancy,22813,1
reentrancy,22823,1
reentrancy,22854,1
reentrancy,22901,0
reentrancy,23081,0
reentrancy,23087,0
reentrancy,23126,0
reentrancy,23387,0
reentrancy,23776,0
reentrancy,23792,0
reentrancy,23803,0
reentrancy,24007,0
reentrancy,24158,0
reentrancy,24456,1
reentrancy,24501,1
reentrancy,24507,1
reentrancy,24517,1
reentrancy,24520,1
reentrancy,24601,0
reentrancy,24624,0
reentrancy,24648,0
reentrancy,24802,0
reentrancy,24822,0
reentrancy,24985,0
reentrancy,24997,0
reentrancy,24999,0
reentrancy,31356,0
reentrancy,31373,0
reentrancy,31374,0
reentrancy,31404,0
reentrancy,31415,0
reentrancy,31418,0
reentrancy,31437,0
reentrancy,31442,0
reentrancy,31443,0
reentrancy,31445,0
reentrancy,31446,0
reentrancy,31453,0
reentrancy,31454,0
reentrancy,31456,0
reentrancy,31485,0
reentrancy,31489,0
reentrancy,31491,0
reentrancy,31497,0
reentrancy,31528,0
reentrancy,31530,0
reentrancy,31545,0
reentrancy,31548,0
reentrancy,31558,0
reentrancy,31560,0
reentrancy,31561,0
reentrancy,31562,0
reentrancy,31564,0
reentrancy,31565,0
reentrancy,31566,0
reentrancy,31574,0
reentrancy,31599,0
reentrancy,31604,0
reentrancy,31606,0
reentrancy,31607,0
reentrancy,31608,0
reentrancy,31617,0
reentrancy,31619,0
reentrancy,31620,1
reentrancy,31624,1
reentrancy,31627,1
reentrancy,31632,1
reentrancy,31634,0
reentrancy,31642,0
reentrancy,31652,0
reentrancy,31670,0
reentrancy,31683,0
reentrancy,31690,0
reentrancy,31691,0
reentrancy,31694,0
reentrancy,31696,0
reentrancy,31697,0
reentrancy,31737,0
reentrancy,31753,0
reentrancy,31759,0
reentrancy,31760,0
reentrancy,31761,0
reentrancy,31783,0
reentrancy,31827,0
reentrancy,31857,0
reentrancy,31859,0
reentrancy,31860,0
reentrancy,31873,0
reentrancy,31876,0
reentrancy,31888,0
reentrancy,31890,1
reentrancy,31893,1
reentrancy,31895,1
reentrancy,31900,1
reentrancy,31914,0
reentrancy,31944,0
reentrancy,31956,0
reentrancy,31981,0
reentrancy,31984,0
reentrancy,32017,0
reentrancy,32023,0
reentrancy,32032,0
reentrancy,32042,0
reentrancy,32049,0
reentrancy,32051,0
reentrancy,32053,0
reentrancy,32054,0
reentrancy,32072,0
reentrancy,32077,0
reentrancy,32088,0
reentrancy,32090,1
reentrancy,32091,1
reentrancy,32095,1
reentrancy,32100,1
reentrancy,32137,0
reentrancy,32139,0
reentrancy,32151,0
reentrancy,32157,0
reentrancy,32172,0
reentrancy,32188,0
reentrancy,32216,0
reentrancy,32219,0
reentrancy,32220,0
reentrancy,32244,0
reentrancy,32245,0
reentrancy,32274,0
reentrancy,32304,0
reentrancy,32305,0
reentrancy,32315,0
reentrancy,32341,0
reentrancy,32367,0
reentrancy,32382,0
reentrancy,32386,0
reentrancy,32392,0
reentrancy,32400,0
reentrancy,32434,0
reentrancy,32437,0
reentrancy,32467,0
reentrancy,32470,1
reentrancy,32474,1
reentrancy,32480,1
reentrancy,32481,1
reentrancy,32483,0
reentrancy,32484,0
reentrancy,32486,0
reentrancy,32522,0
reentrancy,32545,0
reentrancy,32549,0
reentrancy,32560,0
reentrancy,32572,0
reentrancy,32605,0
reentrancy,32606,0
reentrancy,32608,0
reentrancy,32611,0
reentrancy,32622,0
reentrancy,32623,0
reentrancy,32624,0
reentrancy,32658,0
reentrancy,32659,0
reentrancy,32662,0
reentrancy,32671,0
reentrancy,32699,0
reentrancy,32700,1
reentrancy,32701,1
reentrancy,32710,1
reentrancy,32715,1
reentrancy,32716,0
reentrancy,32717,0
reentrancy,32741,0
reentrancy,32742,0
reentrancy,32763,0
reentrancy,32773,0
reentrancy,32774,0
reentrancy,32781,0
reentrancy,32791,0
reentrancy,32811,0
reentrancy,32812,0
reentrancy,32813,0
reentrancy,32832,0
reentrancy,32837,0
